id_mhs,list matkul,rekomendasi matkul
13510058,"IF4072-2013, IF5020-2013, IF5030-2013, IF4040-2013, IF5193-2013, IF5194-2013, IF5282-2013","IF4041-2013, IF4061-2013, BI2001-2013, KU2061-2013, IF4031-2013, IF4043-2013, KU4078-2013"
13510059,"IF4043-2013, KU2061-2013, KU4012-2013, KU4190-2013, KU4193-2013, TL4103-2013, IF4041-2013, IF4042-2013, IF4061-2013, DI4007-2013, KU4074-2013","IF4021-2013, DK3016-2013, IF2112-2013, IF4071-2013, DK3014-2013, AS2005-2013, IF4070-2013"
13510060,"IF4060-2013, IF4070-2013, KU4078-2013, TL4002-2013, IF4042-2013, DI4007-2013, KU4074-2013","IF4071-2013, IF2112-2013, IF4021-2013, DK3016-2013, DK3014-2013, AS2005-2013, IF4072-2013"
13510061,"IF4071-2013, IF4072-2013, DK3014-2013, IF4020-2013","AS2005-2013, IF4031-2013, KU2061-2013, KU4273-2013, IF4073-2013, IF4033-2013, DK3016-2013, IF2112-2013, KU2065-2013, KU2062-2013, IF4061-2013, TI3004-2013, IF4041-2013, IF4021-2013, IF4042-2013, KU4072-2013, DK4206-2013, KU4078-2013, KU4079-2013, IF4050-2013, IF4043-2013, IF4070-2013, KU4012-2013, BI2001-2013, TL2105-2013, TL4002-2013, KU4071-2013, TL4103-2013, KU2063-2013, IF4040-2013"
13510062,"IF4071-2013, IF4072-2013, IF4061-2013","AS2005-2013, KU2062-2013, KU4079-2013, DK3014-2013, KU2061-2013, DK4206-2013, IF4070-2013"
13510063,"IF4043-2013, TL4103-2013, IF4021-2013, IF4033-2013, IF4042-2013","DK3016-2013, IF2112-2013, IF4071-2013, DK3014-2013, AS2005-2013, IF4070-2013, IF4072-2013"
13510064,"IF4031-2013, IF5020-2013, IF5192-2013, IF4033-2013","IF4050-2013, IF2112-2013, KU2061-2013, IF4020-2013, KU4079-2013, IF4071-2013, AS2005-2013"
13510065,"IF4071-2013, IF4061-2013","AS2005-2013, KU2062-2013, IF4072-2013, KU4079-2013, DK3014-2013, KU2061-2013, DK4206-2013"
13510066,"IF4031-2013, IF4040-2013","IF4050-2013, KU2061-2013, AS2005-2013, IF4033-2013, KU4079-2013, IF4071-2013, IF4020-2013"
13510067,"TL4002-2013, TL4002-2013","KU4012-2013, IF4061-2013, IF4031-2013, IF4072-2013, IF4021-2013, IF4020-2013, IF4033-2013"
13510068,"IF4043-2013, KU4012-2013, TL4103-2013, IF4033-2013, KU2064-2013, IF4050-2013","IF2112-2013, IF4031-2013, KU2061-2013, KU4079-2013, DK3014-2013, AS2005-2013, KU4273-2013, IF4061-2013, KU4078-2013, IF4041-2013, BI2001-2013, IF4020-2013, IF4040-2013, IF4042-2013, IF4071-2013, KU2063-2013, TI3004-2013, KU2062-2013, DK3016-2013, KU4072-2013, IF4070-2013, IF4021-2013, IF4072-2013, IF4073-2013, TL4002-2013, KU2065-2013, DK4206-2013, KU4095-2013, TL2105-2013, KU4182-2013"
13510069,"IF4043-2013, KU4012-2013, TL4103-2013, IF4021-2013, IF4040-2013, IF4042-2013, IF4061-2013, II4062-2013","DK3016-2013, IF2112-2013, IF4071-2013, DK3014-2013, AS2005-2013, IF4070-2013, IF4072-2013"
13510070,"IF4031-2013, IF4071-2013, IF4072-2013","IF4033-2013, AS2005-2013, KU2061-2013, TL4103-2013, DK3014-2013, IF4020-2013, KU4079-2013"
13510071,"IF4072-2013, KU4078-2013, IF4033-2013","AS2005-2013, KU4079-2013, IF4031-2013, IF4071-2013, KU2061-2013, IF4043-2013, DK3014-2013"
13510072,"KU4012-2013, KU4095-2013, TL4002-2013, IF4033-2013, IF4061-2013","DK3014-2013, BI2001-2013, IF4071-2013, IF2112-2013, KU2061-2013, IF4050-2013, IF4031-2013"
13510073,"IF4071-2013, IF5020-2013, IF5110-2013, IF4020-2013, IF4021-2013, IF5111-2013, IF5162-2013","IF4042-2013, IF2112-2013, AS2005-2013, IF4031-2013, IF4072-2013, KU2061-2013, IF4073-2013"
13510074,"IF4071-2013, IF4072-2013, KU4012-2013, IF4061-2013","DK3014-2013, IF2112-2013, BI2001-2013, IF4070-2013, AS2005-2013, KU2062-2013, KU2061-2013"
13510075,"IF4070-2013, IF4071-2013, KU4172-2013, TL4103-2013, IF4033-2013, IF4040-2013, IF4041-2013, IF4042-2013","DK3016-2013, DK3014-2013, IF2112-2013, IF4021-2013, AS2005-2013, IF4072-2013, TI3004-2013"
13510076,"IF4071-2013, IF4072-2013, IF4061-2013","AS2005-2013, KU2062-2013, KU4079-2013, DK3014-2013, KU2061-2013, DK4206-2013, IF4070-2013"
13510077,"IF4071-2013, IF4072-2013, IF4033-2013, IF4073-2013","DK4206-2013, KU2061-2013, IF4020-2013, IF4031-2013, KU4079-2013, KU4078-2013, AS2005-2013, DK3014-2013, IF4050-2013, KU4072-2013, TI3004-2013, IF2112-2013, KU2062-2013, IF4021-2013, IF4070-2013, DK3016-2013, KU4273-2013, IF4061-2013, TL2105-2013, IF4041-2013, IF4040-2013, KU2063-2013, KU4012-2013, TL4103-2013, IF4043-2013, TL4002-2013, IF4042-2013, KU2065-2013, BI2001-2013"
13510078,"TL4002-2013, IF4021-2013, IF4033-2013, IF4040-2013","IF4042-2013, IF2112-2013, DK3016-2013, DK3014-2013, IF4070-2013, IF4061-2013, IF4071-2013"
13510079,"IF4031-2013, IF5151-2013, TL4103-2013, IF4073-2013, IF5152-2013, IF5153-2013, IF5154-2013","IF4071-2013, DK4206-2013, IF4072-2013, KU2061-2013, IF4020-2013, IF4042-2013, IF4033-2013"
13510080,"IF4071-2013, IF4072-2013, IF4033-2013, IF4073-2013","DK4206-2013, KU2061-2013, IF4020-2013, IF4031-2013, KU4079-2013, KU4078-2013, AS2005-2013, DK3014-2013, IF4050-2013, KU4072-2013, TI3004-2013, IF2112-2013, KU2062-2013, IF4021-2013, IF4070-2013, DK3016-2013, KU4273-2013, IF4061-2013, TL2105-2013, IF4041-2013, IF4040-2013, KU2063-2013, KU4012-2013, TL4103-2013, IF4043-2013, TL4002-2013, IF4042-2013, KU2065-2013, BI2001-2013"
13510081,"KU2063-2013, IF4033-2013, IF4041-2013, IF4061-2013","IF4071-2013, AS2005-2013, IF4072-2013, TI3004-2013, IF4043-2013, DK3014-2013, KU4078-2013"
13510082,"IF4071-2013, IF4040-2013, IF4041-2013","AS2005-2013, IF4072-2013, TI3004-2013, DK3014-2013, KU4072-2013, KU4078-2013, KU2061-2013"
13510083,"IF4071-2013, IF4072-2013, IF4040-2013, IF4061-2013","AS2005-2013, KU2062-2013, KU4079-2013, DK3014-2013, KU2061-2013, DK4206-2013, IF4070-2013"
